raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
IRC,BOREALIS 45 #01,,,pending,,
IRC,LASER 28,,,pending,,
IRC,J/105,,,pending,,
IRC,SONATA OD,,,pending,,
IRC,FIRST 40 2.48 Fin6,,,pending,,
IRC,DUFOUR 36 (12) 2.2,,,pending,,
IRC,Hanse 350,,,pending,,
IRC,Pogo 30,,,pending,,
IRC,SIGMA 38 OOD,,,pending,,
IRC,OOD 101,,,pending,,
IRC,FARR 30 2.15,,,pending,,
IRC,X 412 Mk2 2.10,,,pending,,
IRC,GRAND SOLEIL 343 1,,,pending,,
IRC,FIRST 36.7 2.20,,,pending,,
IRC,SUN FAST 3600 2.15,,,pending,,
IRC,HALLBERG RASSY 36,,,pending,,
IRC,X 37 1.98,,,pending,,
IRC,FIRST 40.7 2.40 MO,,,pending,,
IRC,REFLEX 38 2.30,,,pending,,
IRC,J 45 2.30,,,pending,,
IRC,RM 890 1.55 TK,,,pending,,
IRC,COMET 111 1.90,,,pending,,
IRC,GRAND SURPRISE 2.0,,,pending,,
IRC,FAREAST 28 R 1.70,,,pending,,
IRC,POGO 12.50 3.00,,,pending,,
IRC,Beneteau First 40.,,,pending,,
IRC,FIRST 40,,,pending,,
IRC,SWAN 44 (72) 2.30,,,pending,,
IRC,ARCONA 410 2.50,,,pending,,
IRC,Archambault Sprint,,,pending,,
IRC,RM 10.70 TK 1.70,,,pending,,
IRC,SUN FAST 30 OD,,,pending,,
IRC,ARCONA 380/385 2.1,,,pending,,
IRC,GRAND SOLEIL 37 B&,,,pending,,
IRC,OCEANIS 37 1.90,,,pending,,
IRC,J 120 2.13,,,pending,,
IRC,MAX FUN 35 2.20,,,pending,,
IRC,JOD 35 1.95,,,pending,,
IRC,HANSE 455 2.25 T,,,pending,,
IRC,J97,,,pending,,
IRC,X 442 2.30,,,pending,,
IRC,J/112E,,,pending,,
IRC,Bavaria 390 Lagoon,,,pending,,
IRC,GRAND SOLEIL 50 2.,,,pending,,
IRC,FIRST 40.7 2.40,,,pending,,
IRC,CARROLL MARINE 60,,,pending,,
IRC,MILLS 39 Custom,,,pending,,
IRC,X 372 2.00 SPORT,,,pending,,
IRC,SWEDEN YACHTS 38,,,pending,,
IRC,X 55 3.20,,,pending,,
IRC,Hunter Medina 20,,,pending,,
IRC,J/124,,,pending,,
IRC,PRIMA 38 2.46,,,pending,,
IRC,FIGARO II 2.10,,,pending,,
IRC,FARR 40 2.60,,,pending,,
IRC,HUNTER SONATA 7 OD,,,pending,,
IRC,FIRST 34.7 2.00,,,pending,,
IRC,SADLER 25 stub kee,,,pending,,
IRC,BAVARIA 39 CR 1.86,,,pending,,
IRC,FIRST 40.7 2.40 Di,,,pending,,
IRC,PRIMA 38 2.46 MOD,,,pending,,
IRC,CLASS 40 Clark Jaz,,,pending,,
IRC,STORM 33,,,pending,,
IRC,Farr 40,,,pending,,
IRC,X-46,,,pending,,
IRC,UFO 32 PROTOTYPE,,,pending,,
IRC,SWAN 46 Mk1,,,pending,,
IRC,HANSE 345 1.90,,,pending,,
IRC,SJ 320/SEAQUEST 32,,,pending,,
IRC,CHALLENGE 72OD 3.2,,,pending,,
IRC,HANSE 342,,,pending,,
IRC,SUN ODYSSEY 33 i 1,,,pending,,
IRC,FIRST 25.7 1.85,,,pending,,
IRC,KER 43 Custom WB,,,pending,,
IRC,SWAN 62 RS 3.05 #0,,,pending,,
IRC,CAPE 31,,,pending,,
IRC,one off,,,pending,,
IRC,J 133 FRA 2.29,,,pending,,
IRC,X2,,,pending,,
IRC,Far East 28R,,,pending,,
IRC,SWAN 48 (72) 2.40,,,pending,,
IRC,FIRST 31.7 1.90,,,pending,,
IRC,WING 34,,,pending,,
IRC,QUARTER TON Faurou,,,pending,,
IRC,Quarter Tonner,,,pending,,
IRC,QUARTER TON Bullit,,,pending,,
IRC,X 95 1.73 MOD (rud,,,pending,,
IRC,STARLIGHT 35 1.82,,,pending,,
IRC,REGATTA 290 1.52,,,pending,,
IRC,Hunter Medina,,,pending,,
IRC,HANSE 291 1.55,,,pending,,
ISC Rating System,Dufour 34,,,pending,,
ISC Rating System,First 40.7,,,pending,,
ISC Rating System,Contessa 32,,,pending,,
ISC Rating System,Dufour 40,,,pending,,
ISC Rating System,Contessa 26,,,pending,,
ISC Rating System,Arcona 380,,,pending,,
ISC Rating System,Sweden Yachts C34,,,pending,,
ISC Rating System,Moody 31S,,,pending,,
ISC Rating System,Hanse 385,,,pending,,
ISC Rating System,SWAN 48 (19) 2.40,,,pending,,
ISC Rating System,Hunter Link 30,,,pending,,
ISC Rating System,Jeanneau Sun Odyss,,,pending,,
ISC Rating System,Hanse Varianta 37,,,pending,,
ISC Rating System,Westerly Fulmar 32,,,pending,,
ISC Rating System,Dufour 382GL,,,pending,,
ISC Rating System,MG C27,,,pending,,
ISC Rating System,Elan 333,,,pending,,
ISC Rating System,Sigma 38,,,pending,,
ISC Rating System,Moody 28,,,pending,,
ISC Rating System,Contessa OOD34,,,pending,,
ISC Rating System,Moody 47,,,pending,,
ISC Rating System,Breehorn 37,,,pending,,
ISC Rating System,Jeanneau Sunfast 3,,,pending,,
ISC Rating System,X-46,,,pending,,
